lot,wafer,site,x,y,radius,vtn_mV,vtp_mV,idsat_uA,ioff_nA,rc_ohm,rs_ohm,rosc_MHz
lot_001,wafer_01,S00,0.0,0.0,0.05,315.48615404565794,-290.8387370069491,587.9728708168708,0.7200982670680225,18.287153610135945,15.383402445117403,1974.4145016831944
lot_001,wafer_01,S01,0.45,0.0,0.45,313.61919167519414,-295.4639052882824,627.112964216161,1.1463490804194558,20.530786726227532,13.16626288892493,2079.6876983471966
lot_001,wafer_01,S02,0.22500000000000006,0.3897114317029974,0.45,315.21508461888277,-282.1594618182642,605.4240886563927,0.6397379337282093,17.649649848936157,13.63049782183803,2028.6695326504712
lot_001,wafer_01,S03,-0.2249999999999999,0.38971143170299744,0.45,309.3633218724032,-282.8327136892804,661.7777741414072,1.101576983685072,20.55311644678327,14.52809696808633,1989.0649624181963
lot_001,wafer_01,S04,-0.45,5.5109105961630896e-17,0.45,287.95904942989483,-292.6876786814812,626.2043352791018,0.9209863344149594,18.735486591839695,15.594036856858544,2042.4502021060082
lot_001,wafer_01,S05,-0.2250000000000002,-0.3897114317029973,0.45,300.8475804440933,-295.04880194248614,609.310754443328,0.9515374592636016,19.506256522958324,14.629397763122865,1980.589544684369
lot_001,wafer_01,S06,0.22500000000000006,-0.3897114317029974,0.45,304.1223871328084,-284.4828153363179,601.5300774111363,1.2728453130837698,19.371316189287654,14.522784581837106,1929.9148585414666
lot_001,wafer_01,S07,0.692820323027551,0.39999999999999997,0.8,274.816652690727,-290.35076836428993,598.7238734818698,1.157035122274136,20.078976364891197,15.325615087744586,2043.33240486345
lot_001,wafer_01,S08,4.898587196589413e-17,0.8,0.8,299.24750718769235,-331.9675401197681,586.0968050581089,1.189663247675396,23.114821230153577,14.875263607376368,1977.178532624882
lot_001,wafer_01,S09,-0.6928203230275508,0.4000000000000003,0.8,285.5209610425104,-292.32103920305667,584.9412036748713,0.7570668360754692,20.212055533275514,15.132514665756405,1991.5885352787823
lot_001,wafer_01,S10,-0.6928203230275511,-0.3999999999999998,0.8,311.0592268710422,-310.93147282245707,596.7788351236379,0.9184201392543235,20.101620436443277,14.560904226882244,2064.7625375570256
