lot,wafer,step,tool_id,cd_nm,overlay_nm,film_A,defect_count,defect_density
lot_001,wafer_01,gate_etch,ETCH-G01,45.2764648792551,1.542038137043683,512.619687454006,11,0.10627192369302048
lot_001,wafer_01,contact_etch,ETCH-C01,44.835061969419534,2.4133316623293886,511.3861235190004,8,0.07402368720054653
lot_001,wafer_01,m1_litho,LITHO-M1,46.376773015869276,2.309361901963677,511.64847320965055,14,0.1342241996299236
lot_001,wafer_01,m1_etch,ETCH-M1,46.53490382335571,3.231481991181924,493.5894459745368,16,0.15849409667267367
lot_001,wafer_01,cmp,CMP-01,44.375662134651705,1.8952860359176074,521.0653695705995,5,0.04151296861225467
lot_001,wafer_02,gate_etch,ETCH-G01,45.46971264215447,1.6521010663870843,515.3214107390249,12,0.12094858245527126
lot_001,wafer_02,contact_etch,ETCH-C01,45.16756052782207,2.086228315959406,518.4422431797761,14,0.13255241162040265
lot_001,wafer_02,m1_litho,LITHO-M1,46.0254829426863,3.2694008241978096,510.7067728043479,13,0.12679339355714403
lot_001,wafer_02,m1_etch,ETCH-M1,46.25975145028147,2.1659010730866775,521.9925037752253,8,0.0825611279613812
lot_001,wafer_02,cmp,CMP-01,44.603392732831026,1.8900932954623546,513.0130985495874,9,0.09163686648764781
lot_001,wafer_03,gate_etch,ETCH-G01,45.52023903163619,3.088892978074329,501.1265120851439,11,0.1170999003608323
lot_001,wafer_03,contact_etch,ETCH-C01,44.56557004018287,2.3499179865224358,506.5059369324588,17,0.17316567269674799
lot_001,wafer_03,m1_litho,LITHO-M1,46.29618136832417,3.305984241770835,507.2150601034182,10,0.1026023708215189
lot_001,wafer_03,m1_etch,ETCH-M1,46.52000536645811,3.1145573806227063,512.7258699976729,7,0.06843089053571728
lot_001,wafer_03,cmp,CMP-01,43.500014101334784,2.1594705679740067,504.3769426213002,10,0.09550882693712799
lot_001,wafer_04,gate_etch,ETCH-G01,47.252321479495215,3.1758966239539994,498.16540306754086,12,0.12548203331665733
lot_001,wafer_04,contact_etch,ETCH-C01,45.67265422782146,1.65596932324505,513.9709126295004,9,0.09703605841878896
lot_001,wafer_04,m1_litho,LITHO-M1,46.33905437257197,1.5575406700512895,511.9283467691927,10,0.10371111503558036
lot_001,wafer_04,m1_etch,ETCH-M1,46.92739319173087,3.0157667488927995,505.67475232513584,8,0.0809515650151871
lot_001,wafer_04,cmp,CMP-01,46.84618583371042,1.9650840671394785,524.8268210662753,9,0.09366816693123362
lot_001,wafer_05,gate_etch,ETCH-G01,45.010659545759545,1.315039618682761,510.32145516403904,12,0.12661842013842325
lot_001,wafer_05,contact_etch,ETCH-C01,46.19238878960874,2.854403246555724,508.687755125952,13,0.12773042673862522
lot_001,wafer_05,m1_litho,LITHO-M1,44.569876600901146,2.1166733400298905,491.2525132986125,8,0.06958937576378195
lot_001,wafer_05,m1_etch,ETCH-M1,44.95416944546433,1.5685413897225169,514.9706087231102,15,0.14644209222751012
lot_001,wafer_05,cmp,CMP-01,44.83735845964714,1.4416085540976953,512.8530120922737,18,0.18209862086549433
lot_001,wafer_06,gate_etch,ETCH-G01,44.54885941524835,2.5983760957817097,513.0450152144704,7,0.06379067838045852
lot_001,wafer_06,contact_etch,ETCH-C01,47.229235492462344,2.3159797552898644,518.9092147353335,6,0.058828749017305663
lot_001,wafer_06,m1_litho,LITHO-M1,47.699914154537886,2.2834684249725816,514.5138806095753,14,0.1438674575759729
lot_001,wafer_06,m1_etch,ETCH-M1,45.1990046877911,2.3065849438803925,500.65828739998295,9,0.08475180459934939
lot_001,wafer_06,cmp,CMP-01,45.76357174394549,3.0170123471252728,520.4957069486737,16,0.16235040085484959
lot_001,wafer_07,gate_etch,ETCH-G01,45.10324534603738,2.238043227886673,518.0673846785853,11,0.10028737830209702
lot_001,wafer_07,contact_etch,ETCH-C01,45.58388481122962,2.6601721685456137,499.68943319489,9,0.0884253164605563
lot_001,wafer_07,m1_litho,LITHO-M1,45.65689907137828,1.3576661312855156,518.4174124667327,5,0.04363603224527008
lot_001,wafer_07,m1_etch,ETCH-M1,46.01084606965607,3.013003166067966,525.767157016237,14,0.14321316469512574
lot_001,wafer_07,cmp,CMP-01,46.7230737176952,1.8317857261376322,514.5051004502292,12,0.11979634335531472
lot_001,wafer_08,gate_etch,ETCH-G01,46.53477157637558,2.814520009209089,515.9911373628714,8,0.07156303251808667
lot_001,wafer_08,contact_etch,ETCH-C01,46.17804273981654,1.9375450335697453,515.0111869620084,12,0.12176766624531263
lot_001,wafer_08,m1_litho,LITHO-M1,45.69905377556985,2.04276146542744,507.1797642171398,4,0.043012342506799785
lot_001,wafer_08,m1_etch,ETCH-M1,47.013692163061584,2.4914779994968015,516.1411896359871,12,0.11692960914416217
lot_001,wafer_08,cmp,CMP-01,46.268283362559735,1.6626689904698861,505.8110811208689,12,0.12584866446829646
