lot,wafer,step,tool_id,cd_nm,overlay_nm,film_A,defect_count,defect_density
lot_001,wafer_01,gate_etch,ETCH-G01,46.97818730504686,0.7318271273750063,501.8429998464739,10,0.10498577572352413
lot_001,wafer_01,contact_etch,ETCH-C01,45.982526796195536,1.445521447077173,518.85930420393,13,0.130333885481729
lot_001,wafer_01,m1_litho,LITHO-M1,47.172330855246756,2.3038810724638297,505.2975187895107,11,0.11438128057921745
lot_001,wafer_01,m1_etch,ETCH-M1,46.91358831335956,1.9675481578589356,510.55807356434696,8,0.07344374776824629
lot_001,wafer_01,cmp,CMP-01,45.83928933864845,1.7215869155939802,509.2533583061918,12,0.1207600582365806
lot_001,wafer_02,gate_etch,ETCH-G01,45.76718683044428,2.157622914326294,513.377272195939,6,0.05770886518289871
lot_001,wafer_02,contact_etch,ETCH-C01,46.23735746334446,3.6363581243970486,526.639387967997,7,0.06672350932820603
lot_001,wafer_02,m1_litho,LITHO-M1,44.47802031808952,1.616040440923734,514.4617190280046,14,0.14702829121464112
lot_001,wafer_02,m1_etch,ETCH-M1,45.31968770232949,0.6042621306698743,510.73120581974973,6,0.05856583793747704
lot_001,wafer_02,cmp,CMP-01,45.08806479070571,1.938729339735838,498.28971854741826,5,0.04278523542975137
lot_001,wafer_03,gate_etch,ETCH-G01,46.44500605832271,1.8769911783913364,514.5635636178033,12,0.11411495230322491
lot_001,wafer_03,contact_etch,ETCH-C01,45.643502403101046,1.0400424190502742,520.3243348492615,9,0.08707196128820707
lot_001,wafer_03,m1_litho,LITHO-M1,46.39871219770977,1.9147606053678259,514.7204519735611,19,0.17608948984492567
lot_001,wafer_03,m1_etch,ETCH-M1,46.07215638053809,2.104123885656099,520.3946732282378,7,0.06701921972207348
lot_001,wafer_03,cmp,CMP-01,45.97310263812799,2.20404033744741,505.49972331359464,3,0.03800686776095022
lot_001,wafer_04,gate_etch,ETCH-G01,44.240358844863444,1.98858416278966,504.9610998606184,9,0.08664870339210859
