lot,wafer,step,tool_id,chamber,timestamp
lot_001,wafer_01,gate_etch,ETCH-G01,CH-A,2025-01-01 00:00:00
lot_001,wafer_01,contact_etch,ETCH-C01,CH-A,2025-01-01 01:00:00
lot_001,wafer_01,m1_litho,LITHO-M1,CH-C,2025-01-01 02:00:00
lot_001,wafer_01,m1_etch,ETCH-M1,CH-C,2025-01-01 03:00:00
lot_001,wafer_01,cmp,CMP-01,CH-B,2025-01-01 04:00:00
lot_001,wafer_02,gate_etch,ETCH-G01,CH-B,2025-01-01 02:00:00
lot_001,wafer_02,contact_etch,ETCH-C01,CH-B,2025-01-01 03:00:00
lot_001,wafer_02,m1_litho,LITHO-M1,CH-A,2025-01-01 04:00:00
lot_001,wafer_02,m1_etch,ETCH-M1,CH-A,2025-01-01 05:00:00
lot_001,wafer_02,cmp,CMP-01,CH-A,2025-01-01 06:00:00
lot_001,wafer_03,gate_etch,ETCH-G01,CH-A,2025-01-01 04:00:00
lot_001,wafer_03,contact_etch,ETCH-C01,CH-A,2025-01-01 05:00:00
lot_001,wafer_03,m1_litho,LITHO-M1,CH-D,2025-01-01 06:00:00
lot_001,wafer_03,m1_etch,ETCH-M1,CH-A,2025-01-01 07:00:00
lot_001,wafer_03,cmp,CMP-01,CH-A,2025-01-01 08:00:00
lot_001,wafer_04,gate_etch,ETCH-G01,CH-C,2025-01-01 06:00:00
lot_001,wafer_04,contact_etch,ETCH-C01,CH-A,2025-01-01 07:00:00
lot_001,wafer_04,m1_litho,LITHO-M1,CH-D,2025-01-01 08:00:00
lot_001,wafer_04,m1_etch,ETCH-M1,CH-D,2025-01-01 09:00:00
lot_001,wafer_04,cmp,CMP-01,CH-C,2025-01-01 10:00:00
lot_001,wafer_05,gate_etch,ETCH-G01,CH-B,2025-01-01 08:00:00
lot_001,wafer_05,contact_etch,ETCH-C01,CH-D,2025-01-01 09:00:00
lot_001,wafer_05,m1_litho,LITHO-M1,CH-A,2025-01-01 10:00:00
lot_001,wafer_05,m1_etch,ETCH-M1,CH-B,2025-01-01 11:00:00
lot_001,wafer_05,cmp,CMP-01,CH-A,2025-01-01 12:00:00
lot_001,wafer_06,gate_etch,ETCH-G01,CH-B,2025-01-01 10:00:00
lot_001,wafer_06,contact_etch,ETCH-C01,CH-B,2025-01-01 11:00:00
lot_001,wafer_06,m1_litho,LITHO-M1,CH-C,2025-01-01 12:00:00
lot_001,wafer_06,m1_etch,ETCH-M1,CH-D,2025-01-01 13:00:00
lot_001,wafer_06,cmp,CMP-01,CH-C,2025-01-01 14:00:00
lot_001,wafer_07,gate_etch,ETCH-G01,CH-D,2025-01-01 12:00:00
lot_001,wafer_07,contact_etch,ETCH-C01,CH-B,2025-01-01 13:00:00
lot_001,wafer_07,m1_litho,LITHO-M1,CH-D,2025-01-01 14:00:00
lot_001,wafer_07,m1_etch,ETCH-M1,CH-B,2025-01-01 15:00:00
lot_001,wafer_07,cmp,CMP-01,CH-D,2025-01-01 16:00:00
lot_001,wafer_08,gate_etch,ETCH-G01,CH-B,2025-01-01 14:00:00
lot_001,wafer_08,contact_etch,ETCH-C01,CH-A,2025-01-01 15:00:00
lot_001,wafer_08,m1_litho,LITHO-M1,CH-B,2025-01-01 16:00:00
lot_001,wafer_08,m1_etch,ETCH-M1,CH-B,2025-01-01 17:00:00
lot_001,wafer_08,cmp,CMP-01,CH-C,2025-01-01 18:00:00
lot_001,wafer_09,gate_etch,ETCH-G01,CH-D,2025-01-01 16:00:00
lot_001,wafer_09,contact_etch,ETCH-C01,CH-B,2025-01-01 17:00:00
lot_001,wafer_09,m1_litho,LITHO-M1,CH-C,2025-01-01 18:00:00
lot_001,wafer_09,m1_etch,ETCH-M1,CH-A,2025-01-01 19:00:00
lot_001,wafer_09,cmp,CMP-01,CH-A,2025-01-01 20:00:00
lot_001,wafer_10,gate_etch,ETCH-G01,CH-C,2025-01-01 18:00:00
lot_001,wafer_10,contact_etch,ETCH-C01,CH-A,2025-01-01 19:00:00
lot_001,wafer_10,m1_litho,LITHO-M1,CH-B,2025-01-01 20:00:00
lot_001,wafer_10,m1_etch,ETCH-M1,CH-D,2025-01-01 21:00:00
lot_001,wafer_10,cmp,CMP-01,CH-D,2025-01-01 22:00:00
lot_001,wafer_11,gate_etch,ETCH-G01,CH-A,2025-01-01 20:00:00
lot_001,wafer_11,contact_etch,ETCH-C01,CH-D,2025-01-01 21:00:00
lot_001,wafer_11,m1_litho,LITHO-M1,CH-B,2025-01-01 22:00:00
lot_001,wafer_11,m1_etch,ETCH-M1,CH-D,2025-01-01 23:00:00
lot_001,wafer_11,cmp,CMP-01,CH-B,2025-01-02 00:00:00
lot_001,wafer_12,gate_etch,ETCH-G01,CH-B,2025-01-01 22:00:00
lot_001,wafer_12,contact_etch,ETCH-C01,CH-B,2025-01-01 23:00:00
lot_001,wafer_12,m1_litho,LITHO-M1,CH-C,2025-01-02 00:00:00
lot_001,wafer_12,m1_etch,ETCH-M1,CH-B,2025-01-02 01:00:00
lot_001,wafer_12,cmp,CMP-01,CH-D,2025-01-02 02:00:00
lot_001,wafer_13,gate_etch,ETCH-G01,CH-C,2025-01-02 00:00:00
lot_001,wafer_13,contact_etch,ETCH-C01,CH-A,2025-01-02 01:00:00
lot_001,wafer_13,m1_litho,LITHO-M1,CH-C,2025-01-02 02:00:00
lot_001,wafer_13,m1_etch,ETCH-M1,CH-A,2025-01-02 03:00:00
lot_001,wafer_13,cmp,CMP-01,CH-A,2025-01-02 04:00:00
lot_001,wafer_14,gate_etch,ETCH-G01,CH-D,2025-01-02 02:00:00
lot_001,wafer_14,contact_etch,ETCH-C01,CH-C,2025-01-02 03:00:00
lot_001,wafer_14,m1_litho,LITHO-M1,CH-C,2025-01-02 04:00:00
lot_001,wafer_14,m1_etch,ETCH-M1,CH-D,2025-01-02 05:00:00
lot_001,wafer_14,cmp,CMP-01,CH-D,2025-01-02 06:00:00
lot_001,wafer_15,gate_etch,ETCH-G01,CH-D,2025-01-02 04:00:00
lot_001,wafer_15,contact_etch,ETCH-C01,CH-C,2025-01-02 05:00:00
lot_001,wafer_15,m1_litho,LITHO-M1,CH-B,2025-01-02 06:00:00
lot_001,wafer_15,m1_etch,ETCH-M1,CH-B,2025-01-02 07:00:00
lot_001,wafer_15,cmp,CMP-01,CH-C,2025-01-02 08:00:00
lot_001,wafer_16,gate_etch,ETCH-G01,CH-C,2025-01-02 06:00:00
lot_001,wafer_16,contact_etch,ETCH-C01,CH-A,2025-01-02 07:00:00
lot_001,wafer_16,m1_litho,LITHO-M1,CH-B,2025-01-02 08:00:00
lot_001,wafer_16,m1_etch,ETCH-M1,CH-D,2025-01-02 09:00:00
lot_001,wafer_16,cmp,CMP-01,CH-B,2025-01-02 10:00:00
lot_001,wafer_17,gate_etch,ETCH-G01,CH-B,2025-01-02 08:00:00
lot_001,wafer_17,contact_etch,ETCH-C01,CH-B,2025-01-02 09:00:00
lot_001,wafer_17,m1_litho,LITHO-M1,CH-D,2025-01-02 10:00:00
lot_001,wafer_17,m1_etch,ETCH-M1,CH-B,2025-01-02 11:00:00
lot_001,wafer_17,cmp,CMP-01,CH-A,2025-01-02 12:00:00
lot_001,wafer_18,gate_etch,ETCH-G01,CH-C,2025-01-02 10:00:00
lot_001,wafer_18,contact_etch,ETCH-C01,CH-A,2025-01-02 11:00:00
lot_001,wafer_18,m1_litho,LITHO-M1,CH-A,2025-01-02 12:00:00
lot_001,wafer_18,m1_etch,ETCH-M1,CH-A,2025-01-02 13:00:00
lot_001,wafer_18,cmp,CMP-01,CH-A,2025-01-02 14:00:00
lot_001,wafer_19,gate_etch,ETCH-G01,CH-A,2025-01-02 12:00:00
lot_001,wafer_19,contact_etch,ETCH-C01,CH-D,2025-01-02 13:00:00
lot_001,wafer_19,m1_litho,LITHO-M1,CH-B,2025-01-02 14:00:00
